Rating,Entity Name,State,County,City,Sector,Entity Type,Region
63,"Catahoula Parish Registrar of Voters, Catahoula, LA",LA,Catahoula Parish,Harrisonburg,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 6
56,"Caswell Town Clerk, Forest, WI",WI,Forest County,Cavour,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
85,"Caswell County Board of Elections, Caswell, NC",NC,Caswell County,Yanceyville,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 4
96,"Castro County Tax Assessor-Collector, Castro, TX",TX,Castro County,Dimmitt,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 6
96,"Castro County County Clerk, Castro, TX",TX,Castro County,Dimmitt,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 6
56,"Castleton Township Election Commission, Barry, MI",MI,Barry County,Nashville,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
45,"Castleton Township Clerk, Barry, MI",MI,Barry County,Nashville,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
47,"Castleton Town Treasurer, Rutland, VT",VT,Rutland County,Castleton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
47,"Castleton Town Clerk, Rutland, VT",VT,Rutland County,Castleton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
56,Castle& Cooke Mortgage,UT,Salt Lake County,Draper,Financial Services,Private CI Entity,Region 8
94,"Castle Rock Town Clerk, Grant, WI",WI,Grant County,Muscoda,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
82,"Castle Hill Municipal Registrar, Aroostook, ME",ME,Aroostook County,Mapleton,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
